Wavelength,Flux,BestFit,SkyFlux
4470.952,29.376,29.078,6.622
4471.982,29.586,29.966,6.660
4473.011,31.597,30.789,6.843
4474.041,29.774,29.561,6.646
4475.072,28.951,29.341,6.563
4476.102,28.970,32.223,6.796
4477.133,29.233,32.245,7.027
4478.164,25.960,30.483,6.574
4479.195,27.470,29.952,5.764
4480.227,28.037,30.086,5.934
4481.259,25.283,27.540,6.547
4482.290,25.278,27.705,6.369
4483.323,27.467,29.596,6.344
4484.355,29.681,29.742,6.812
4485.388,27.909,27.866,6.146
4486.421,29.824,27.267,6.075
4487.454,26.806,29.275,7.357
4488.487,29.573,29.629,7.260
4489.521,34.430,29.632,6.019
4490.555,28.503,29.195,5.606
4491.589,27.850,28.721,5.806
4492.623,28.632,28.660,6.012
4493.658,27.966,26.468,6.616
4494.693,27.822,28.003,6.911
4495.728,33.531,29.901,6.556
4496.763,43.375,32.382,6.301
4497.799,48.259,34.443,6.677
4498.834,42.107,32.915,7.013
4499.870,31.710,29.964,6.840
4500.907,28.358,29.807,6.465
4501.943,26.379,29.063,6.710
4502.980,28.741,29.667,6.607
4504.017,27.135,30.956,6.307
4505.054,28.458,29.195,6.350
4506.091,24.938,27.861,7.013
4507.129,27.488,25.326,7.042
4508.167,28.854,24.770,6.722
4509.205,27.724,27.282,6.927
4510.244,27.885,29.859,6.835
4511.282,29.194,29.617,6.637
4512.321,28.263,30.706,6.708
4513.360,29.983,30.007,6.668
4514.400,31.381,28.382,6.430
4515.439,27.773,27.568,6.173
4516.479,25.069,27.913,6.227
4517.519,24.388,28.704,6.471
4518.559,27.490,29.918,6.521
4519.600,27.580,29.522,5.642
4520.641,30.955,28.489,5.988
4521.682,28.279,27.552,6.970
4522.723,28.970,28.433,6.271
4523.765,28.120,31.738,6.257
4524.806,27.086,31.948,6.760
4525.848,25.508,29.626,6.752
4526.891,27.996,28.265,6.361
4527.933,28.445,28.271,6.454
4528.976,29.905,29.362,6.637
4530.019,29.744,30.874,6.416
4531.062,28.268,29.817,6.240
4532.105,28.631,30.170,6.581
4533.149,26.720,29.917,7.158
4534.193,25.747,29.431,7.445
4535.237,26.351,29.545,7.223
4536.282,27.982,29.743,6.976
4537.326,28.477,29.554,6.734
4538.371,26.476,29.558,7.127
4539.416,26.644,30.130,7.859
4540.462,28.296,29.562,7.468
4541.507,28.844,28.058,6.857
4542.553,29.251,27.962,7.143
4543.599,28.461,28.632,6.909
4544.645,28.092,27.786,6.747
4545.692,26.441,28.702,7.487
4546.739,28.441,29.806,7.649
4547.786,29.861,29.633,7.156
4548.833,28.444,28.974,7.029
4549.881,26.371,27.318,6.966
4550.928,25.580,27.997,6.601
4551.976,31.513,28.364,6.473
4553.025,26.340,26.941,7.035
4554.073,27.248,25.740,7.170
4555.122,29.837,27.198,6.840
4556.171,28.809,27.878,6.964
4557.220,25.479,26.449,7.034
4558.270,26.790,28.711,7.365
4559.319,27.671,28.440,7.246
4560.369,27.413,25.350,6.742
4561.419,27.210,26.924,6.747
4562.470,29.697,27.369,6.685
4563.520,28.696,29.371,6.446
4564.571,27.329,30.602,6.617
4565.623,27.282,30.198,6.802
4566.674,26.366,29.052,6.712
4567.726,25.633,28.727,6.641
4568.777,25.596,30.094,6.767
4569.830,25.400,30.117,6.929
4570.882,24.995,29.688,6.898
4571.935,25.946,29.257,6.365
4572.987,26.966,29.102,5.460
4574.040,27.361,29.068,6.094
4575.094,25.958,27.154,6.804
