Wavelength,Flux,BestFit,SkyFlux
4219.879,3.105,2.544,3.098
4220.851,3.187,2.518,3.189
4221.823,2.692,2.488,3.023
4222.795,2.065,2.475,2.947
4223.767,1.934,2.555,2.975
4224.740,2.524,2.504,2.720
4225.713,2.660,2.515,2.684
4226.686,2.642,2.534,2.569
4227.659,2.835,2.500,2.373
4228.633,2.980,2.459,2.192
4229.607,2.817,2.497,2.472
4230.581,2.008,2.520,2.597
4231.555,2.061,2.513,2.867
4232.530,2.891,2.499,2.949
4233.504,2.685,2.501,2.969
4234.479,1.379,2.515,2.975
4235.454,3.320,2.517,2.846
4236.430,1.601,2.548,2.799
4237.405,2.228,2.519,2.896
4238.381,2.921,2.505,2.832
4239.357,2.185,2.520,2.968
4240.333,2.546,2.514,2.963
4241.310,3.252,2.499,3.055
4242.287,2.621,2.530,2.904
4243.263,2.397,2.523,2.778
4244.241,2.959,2.514,2.677
4245.218,3.037,2.519,2.844
4246.196,1.930,2.511,3.175
4247.173,2.053,2.491,3.492
4248.152,3.485,2.521,3.851
4249.130,2.068,2.493,3.696
4250.108,1.194,2.526,3.188
4251.087,2.494,2.564,2.706
4252.066,2.823,2.513,2.813
4253.045,1.268,2.521,3.186
4254.025,2.865,2.577,3.123
4255.004,3.084,2.558,3.052
4255.984,2.589,2.526,3.061
4256.964,2.985,2.517,3.143
4257.945,3.419,2.515,3.340
4258.925,2.581,2.532,3.402
4259.906,2.985,2.559,3.119
4260.887,2.130,2.577,2.769
4261.868,1.522,2.546,2.869
4262.849,2.352,2.512,2.688
4263.831,3.349,2.543,2.961
4264.813,3.195,2.582,3.052
4265.795,1.929,2.484,3.096
4266.778,2.678,2.510,3.084
4267.760,2.907,2.550,3.160
4268.743,2.213,2.533,3.160
4269.726,2.763,2.535,3.042
4270.709,2.264,2.602,2.822
4271.693,2.943,2.566,2.619
4272.676,2.283,2.573,2.591
4273.660,3.171,2.572,2.551
4274.644,4.061,2.571,2.513
4275.629,1.685,2.610,2.919
4276.613,3.572,2.627,2.586
4277.598,2.623,2.636,2.821
4278.583,1.292,2.580,3.028
4279.569,1.961,2.560,3.230
4280.554,3.063,2.599,2.947
4281.540,2.373,2.619,2.805
4282.526,3.013,2.576,2.850
4283.512,3.197,2.589,2.809
4284.499,2.076,2.634,2.807
4285.485,1.868,2.618,2.833
4286.472,2.924,2.568,2.852
4287.459,3.222,2.566,2.733
4288.447,2.760,2.599,2.855
4289.434,2.777,2.597,2.654
4290.422,2.803,2.569,2.424
